X,Y,org.esa.sn,ShipDetect,geometry_P,Detected_x,Detected_y,Detected_l,Detected_1,Detected_w,Detected_2,style_css_,icon_url
13.6481915852725,44.1086329600344,ID00000026,target_025,POINT (12.474390527913112 43.78227516926875),"10009","1859",44.108632960034363,13.648191585272508,100.000000000000000,130.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7570896568397,44.0865101136065,ID00000027,target_026,POINT (12.474404085573422 43.78227500017193),"10823","1471",44.086510113606458,13.757089656839716,150.000000000000000,290.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7406558461402,44.0915153624751,ID00000028,target_027,POINT (12.474401995889213 43.78227517032954),"10703","1547",44.091515362475057,13.740655846140157,140.000000000000000,280.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.0655649295911,44.0736405491058,ID00000029,target_028,POINT (12.474321722277466 43.78226228654987),"5352","2303",44.073640549105782,13.065564929591115,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.248682658287,44.0670957980522,ID00000030,target_029,POINT (12.474343773950345 43.78226475378457),"6780","1971",44.067095798052215,13.248682658287006,150.000000000000000,240.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.6649676732191,44.1353812475987,ID00000031,target_030,POINT (12.474391897900833 43.7822778580968),"10195","2124",44.135381247598701,13.664967673219081,30.000000000000000,30.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.0440748595851,44.1164274849959,ID00000032,target_031,POINT (12.474318120364156 43.782265771719636),"5271","2793",44.116427484995867,13.044074859585136,160.000000000000000,180.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.1588933664714,44.1209696702626,ID00000033,target_032,POINT (12.474331742538928 43.78226810468693),"6184","2678",44.120969670262561,13.158893366471421,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.1586467249957,44.1219138498941,ID00000034,target_033,POINT (12.474331692849729 43.78226818167167),"6184","2688",44.121913849894099,13.158646724995670,50.000000000000000,60.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.2018587740279,44.1337005338675,ID00000035,target_034,POINT (12.474336573187193 43.78226996815283),"6548","2754",44.133700533867504,13.201858774027915,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
